,propflaggeddiff,totalneighs
5,9,26
18,3,26
25,1,26
35,12,26
37,2,26
39,6,26
52,1,26
71,4,26
101,5,26
115,5,26
131,3,26
145,12,26
148,1,26
187,3,26
189,3,26
194,1,26
218,6,26
230,6,26
273,3,26
329,4,26
340,8,26
347,5,26
352,11,26
403,4,26
426,8,26
429,12,26
449,8,26
451,3,26
531,5,26
554,3,26
555,10,26
576,11,26
600,7,26
607,9,26
659,1,26
684,9,26
685,14,26
686,4,26
696,3,26
698,3,26
713,14,26
726,1,26
760,1,26
763,9,26
770,1,26
774,4,26
787,1,26
797,3,26
807,11,26
811,9,26
822,7,26
834,3,26
851,8,26
857,4,26
859,10,26
1140,1,26
1173,12,26
1175,7,26
1178,1,26
1188,9,26
1191,5,26
1207,1,26
1212,9,26
1215,7,26
1219,11,26
1248,3,26
1296,2,26
1297,1,26
1327,7,26
1328,13,26
1329,12,26
1340,3,26
1348,7,26
1351,4,26
1353,1,26
1355,2,26
1356,2,26
1359,12,26
1363,4,26
1371,4,26
1372,4,26
1390,2,26
1391,2,26
1392,2,26
1404,6,26
1409,1,26
1418,2,26
1423,5,26
1534,5,26
1616,3,26
1620,9,26
1633,5,26
1643,2,26
1655,2,26
1694,1,26
1780,1,26
1795,9,26
1796,1,26
1873,2,26
1881,5,26
1882,1,26
1884,9,26
1895,2,26
1904,8,26
1906,2,26
1907,10,26
1919,4,26
1922,4,26
1930,6,26
1952,1,26
1966,2,26
1967,11,26
2010,3,26
2029,3,26
2040,1,26
2045,1,26
2057,3,26
2063,8,26
2075,3,26
2087,3,26
2146,1,26
2195,10,26
2208,3,26
2227,13,26
2273,3,26
2277,7,26
2301,3,26
2372,4,26
2440,7,26
2457,7,26
2476,12,26
2477,13,26
2501,12,26
2515,3,26
2523,1,26
2526,10,26
2572,7,26
2573,10,26
2576,1,26
2578,5,26
2581,12,26
2585,1,26
2594,1,26
2608,2,26
2621,10,26
2639,2,26
2665,1,26
2701,6,26
2705,3,26
2707,13,26
2708,5,26
2713,1,26
2715,4,26
