,Propflaggeddiff
5,9
18,3
25,1
35,12
37,2
39,6
52,1
71,4
101,5
115,5
131,3
145,12
148,1
187,3
189,3
194,1
218,6
230,6
273,3
329,4
340,8
347,5
352,11
403,4
426,8
429,12
449,8
451,3
531,5
554,3
555,10
576,11
600,7
607,9
659,1
684,9
685,14
686,4
696,3
698,3
713,14
726,1
760,1
763,9
770,1
774,4
787,1
797,3
807,11
811,9
822,7
834,3
851,8
857,4
859,10
1140,1
1173,12
1175,7
1178,1
1188,9
1191,5
1207,1
1212,9
1215,7
1219,11
1248,3
1296,2
1297,1
1327,7
1328,13
1329,12
1340,3
1348,7
1351,4
1353,1
1355,2
1356,2
1359,12
1363,4
1371,4
1372,4
1390,2
1391,2
1392,2
1404,6
1409,1
1418,2
1423,5
1534,5
1616,3
1620,9
1633,5
1643,2
1655,2
1694,1
1780,1
1795,9
1796,1
1873,2
1881,5
1882,1
1884,9
1895,2
1904,8
1906,2
1907,10
1919,4
1922,4
1930,6
1952,1
1966,2
1967,11
2010,3
2029,3
2040,1
2045,1
2057,3
2063,8
2075,3
2087,3
2146,1
2195,10
2208,3
2227,13
2273,3
2277,7
2301,3
2372,4
2440,7
2457,7
2476,12
2477,13
2501,12
2515,3
2523,1
2526,10
2572,7
2573,10
2576,1
2578,5
2581,12
2585,1
2594,1
2608,2
2621,10
2639,2
2665,1
2701,6
2705,3
2707,13
2708,5
2713,1
2715,4
2716,6
2717,6
2720,12
2725,1
2727,4
2732,10
2734,12
2738,4
2743,6
2746,13
2749,6
2754,2
2758,6
2761,2
2762,6
2763,12
2773,2
2774,6
2775,9
2777,6
2778,6
2783,1
2784,1
2794,5
2797,7
2806,1
2813,7
2816,1
2819,5
2990,5
3029,19
3031,3
3032,2
3033,5
3035,7
3036,19
3037,3
3040,1
3042,15
3043,5
3044,1
3045,3
3048,1
3049,4
3051,2
3052,1
3053,4
3054,2
3056,1
3058,3
3061,3
3062,5
3064,2
3065,7
3066,15
3067,16
3068,19
3071,5
3072,1
3073,19
3076,13
3077,2
3078,2
3080,1
3081,4
3082,19
3083,4
3084,19
3085,3
3086,1
3089,5
3323,1
3400,1
3417,1
3420,5
3437,1
3524,7
3829,1
3877,2
3880,5
3887,11
3889,9
3893,11
3895,5
3927,11
3932,13
3933,11
3936,2
3940,8
3942,1
3968,1
3970,8
3971,9
3973,3
3979,8
3982,1
3983,3
3984,3
3985,1
3991,6
3997,9
4001,3
4005,8
4006,1
4011,13
4012,8
4023,8
4026,1
4079,4
4136,4
4147,1
4162,1
4281,8
4287,4
4301,9
4323,1
4329,1
4532,3
4583,7
4597,5
4598,5
4604,5
4610,5
4907,3
5037,3
5168,3
5210,1
5254,7
5256,3
5267,3
5279,7
5292,3
5298,7
5301,1
5311,1
5342,3
5353,1
5358,1
5361,1
5364,1
5367,2
5369,1
5373,1
5420,9
5474,1
5527,9
5533,9
5723,9
5767,9
5816,1
5817,12
5824,11
5826,3
5856,1
5857,2
5858,7
5861,3
5862,1
5864,1
5867,13
5869,7
5870,3
5874,3
5875,8
5877,3
5878,1
5880,7
5883,11
5884,3
5886,7
5905,3
5955,9
6004,3
6107,1
6153,3
6300,3
6304,3
6306,1
6307,6
6313,2
6314,9
6317,12
6318,3
6319,1
6323,3
6329,3
6341,12
6345,4
6347,9
6348,3
6420,9
6602,5
6608,8
6611,10
6614,2
6617,9
6618,14
6768,1
6769,4
6771,3
6772,8
6777,4
6783,1
6784,1
6787,4
6789,1
7133,4
7338,3
7339,3
7352,8
7429,1
7457,4
7462,3
7463,8
7468,1
7473,12
7475,6
7490,4
7494,2
7503,2
7505,2
7543,1
7550,15
7554,15
7560,15
7567,6
7571,11
7608,2
7618,1
7899,1
8157,4
8183,11
8279,1
8285,4
8287,1
8288,1
8291,1
8292,1
8295,1
8299,4
8300,1
8301,1
8303,1
8307,1
8520,5
8533,6
8781,1
8870,2
8889,1
8901,13
8942,3
9083,1
9248,1
9262,12
9265,2
9301,1
9307,1
9324,4
9326,5
9330,4
9343,1
9344,6
9347,8
9350,1
9353,6
9354,1
9356,1
9361,6
9363,1
9616,2
9680,8
9681,11
9811,1
9814,5
9818,2
9819,1
9821,1
9822,1
9917,3
9918,3
9919,3
9921,5
9922,9
9923,1
9924,1
9925,3
9926,13
9928,9
9929,8
9930,10
9931,3
9932,3
9933,8
9934,3
10093,4
10096,1
10138,4
10240,6
10243,2
10321,11
10326,1
10338,11
10434,4
10435,9
10436,12
10437,1
10438,11
10440,6
10441,13
10442,4
10443,1
10444,9
10445,7
10446,2
10447,3
10448,9
10449,4
10450,13
10451,11
10452,3
10453,12
10454,9
10455,3
10456,13
10470,1
10494,1
10496,1
10498,1
10503,12
10511,1
10518,4
10526,9
10562,1
10563,6
10567,11
10570,12
10571,6
10573,6
10577,1
10677,9
10684,3
10714,11
10715,4
10716,5
10717,10
10719,11
10720,11
10721,3
10722,8
10725,7
10726,12
10727,3
10728,3
10730,5
10731,3
10732,3
10733,11
10734,11
10740,7
10743,7
10753,9
10757,3
10761,7
10763,5
10816,4
10817,1
10818,9
10819,11
10820,1
10824,7
10825,4
10826,8
10827,1
10828,10
10829,4
10830,5
10831,12
10832,4
10833,13
10872,1
10878,6
10879,6
10951,2
10952,3
10989,6
11002,1
11004,6
11006,6
11008,4
11011,9
11014,12
11015,6
11016,6
11018,13
11020,4
11021,1
11022,13
11024,4
11026,9
11028,4
11029,4
11030,4
11031,4
11033,1
11034,9
11036,4
11037,9
11038,4
11081,9
11088,9
11134,10
11143,3
11145,3
11146,10
11253,3
11254,9
11257,3
11260,14
11265,5
11341,1
11344,1
11363,3
11364,9
11397,1
11400,3
11403,1
11407,2
11408,2
11413,1
11437,5
11438,3
11439,2
11440,2
11442,11
11444,8
11446,3
11447,12
11449,3
11450,12
11451,12
11452,1
11453,1
11455,5
11456,12
11551,6
11675,2
11679,3
11681,3
11734,4
11738,2
11746,11
11747,5
11750,2
11752,4
11771,4
11772,3
11773,10
11774,2
11775,12
11776,9
11779,1
11780,1
11782,3
11858,1
11869,3
11874,7
11876,1
11878,3
11879,3
11945,2
12025,8
12053,4
12074,2
12077,8
12078,13
12080,1
12086,10
12089,2
12149,1
12151,6
12154,10
12158,8
12163,1
12168,1
12191,9
12192,3
12195,1
12200,3
12204,1
12327,1
12333,9
12335,2
12336,10
12342,1
12346,2
12380,10
12381,4
12383,3
12384,14
12387,5
12389,2
12390,4
12392,4
12431,1
12436,1
12498,1
12527,12
12528,3
12529,1
12530,4
12531,16
12534,12
12535,9
12536,9
12537,11
12538,7
12539,12
12608,10
12612,5
12614,8
12617,3
12620,1
12624,9
12633,4
12637,5
12654,5
12655,3
12656,3
12657,2
12658,7
12660,13
12661,1
12665,1
12696,1
12778,3
12875,1
12880,10
12883,1
12889,5
12890,8
12891,4
12892,8
12893,10
12894,11
12895,15
12896,7
12897,12
12898,8
12899,8
12900,5
12901,8
12902,9
12903,9
12904,5
12905,11
12906,8
12907,10
12908,4
12935,12
12936,3
12937,6
12938,3
12939,12
12941,12
12942,12
12944,3
12945,12
12946,12
13020,3
13188,3
13190,6
13194,1
13199,3
13230,2
13231,1
13232,4
13235,7
13236,5
13376,1
13377,9
13382,7
13411,7
13414,13
13422,3
13440,9
13481,3
13489,8
13490,5
13555,1
13556,3
13572,1
13580,1
13581,8
13583,8
13584,3
13586,1
13589,10
13590,1
13671,1
13680,1
13716,1
13724,1
13732,5
13733,19
13735,5
13736,5
13737,5
13740,1
13743,3
13779,5
13797,14
13798,8
13801,5
13802,15
13803,3
13804,14
13805,16
13806,12
13807,8
13808,14
13810,14
13823,5
13824,7
13825,2
13826,7
13827,1
13828,5
13829,5
13830,4
13831,5
13832,5
13833,12
13834,5
13863,6
13866,6
13981,7
13982,2
13983,4
13984,7
13985,3
13988,2
13989,3
13990,2
13992,13
13993,6
13994,3
13996,7
13997,3
13998,7
13999,7
14000,2
14110,4
14113,9
14114,4
14119,2
14120,11
14121,9
14122,4
14125,10
14126,4
14127,4
14128,4
14129,4
14143,1
14148,7
14149,1
14150,12
14151,10
14152,7
14154,10
14155,7
14157,5
14171,10
14174,4
14177,1
14179,10
14180,9
14181,1
14182,8
14183,5
14270,8
14280,1
14286,3
14287,9
14291,3
14292,9
14293,9
14351,18
14352,6
14353,2
14354,11
14355,1
14356,3
14357,1
14358,1
14359,3
14360,6
14361,18
14363,5
14364,7
14365,5
14400,3
14401,3
14403,7
14406,7
14408,13
14409,3
14410,1
14411,9
14413,7
14414,3
14416,6
14417,10
14419,3
14420,6
14424,6
14426,1
14427,6
14459,2
14461,11
14479,3
14483,3
14490,3
14493,3
14538,1
14539,8
14540,10
14541,2
14542,4
14543,1
14544,9
14545,4
14546,1
14547,2
14548,1
14550,2
14552,12
14553,3
14555,9
14575,1
14578,1
14580,1
14585,1
14587,3
14588,1
14589,1
14590,1
14591,4
14592,4
14593,3
14595,1
14596,13
14599,5
14600,1
14601,2
14602,1
14603,1
14604,5
14606,1
14607,10
14613,1
14669,4
14670,5
14673,10
14677,11
14678,10
14679,4
14680,4
14708,1
14831,7
14847,3
14864,9
14870,1
14872,2
15035,4
15036,5
15037,3
15056,6
15059,6
15060,6
15112,10
15113,1
15115,3
15118,9
15120,1
15121,3
15132,1
15145,6
15146,9
15147,3
15148,6
15149,12
15150,9
15151,12
15153,9
15154,9
15158,3
15162,3
15164,1
15166,10
15189,1
15196,1
15211,11
15212,7
15213,13
15214,10
15215,13
15216,1
15218,13
15219,11
15220,13
15221,2
15223,7
15243,1
15405,1
15421,3
15451,6
15452,7
15453,12
15454,7
15458,1
15462,13
15463,6
15478,1
15479,1
15482,3
15483,12
15484,1
15486,9
15487,1
15488,9
15544,1
15547,1
15554,1
15559,1
15580,6
15583,11
15588,4
15605,9
15607,9
15608,9
15611,9
15612,10
15615,9
15616,9
15627,4
15687,2
15688,1
15689,9
15690,14
15691,1
15692,1
15693,7
15694,14
15695,2
15697,5
15699,1
15700,2
15701,9
15704,9
15707,9
15710,9
15713,9
15745,9
15765,1
15767,5
15789,7
15790,3
15791,7
15792,6
15793,7
15796,7
15797,3
15798,3
15815,1
15830,5
15883,1
15903,1
15908,12
15909,2
15911,1
15915,5
15930,10
15931,16
15932,6
15933,11
15940,1
15941,4
15945,1
15946,1
15947,1
15948,1
15949,3
15950,4
15956,4
15958,4
15960,1
15968,7
15969,15
15970,4
15971,5
15972,7
15973,7
15974,4
15982,3
15984,3
15986,7
15987,3
15988,3
15990,5
15991,3
15992,9
15993,2
15994,3
15995,3
15996,9
15997,3
16018,7
16019,11
16021,6
16022,11
16023,11
16024,12
16025,6
16026,8
16027,4
16028,7
16029,12
16030,7
16031,7
16078,1
16114,5
16116,3
16117,3
